设备状态统计_历史状态明细,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
  电场:[三峡阳江海路海风场];  设备类型:风机;  设备:[#43];  查询方式:详情;  开始时间:2025-01-01;  结束时间:2025-12-01,,,,,,,,,
序号,馈线名称,设备名称,型号名称,状态,状态码,开始时间,结束时间,持续时间(s),时长描述(h)
137,L14,#43,GW252/13600,(5)发电状态,5,2025-10-23 05:19:12,2025-10-23 14:46:11,34019,9.45
138,L14,#43,GW252/13600,(4)启机状态,4,2025-10-23 05:18:38,2025-10-23 05:19:12,34,0.01
139,L14,#43,GW252/13600,(3)待机状态,3,2025-10-23 05:18:07,2025-10-23 05:18:38,31,0.01
140,L14,#43,GW252/13600,(2)停机状态,2,2025-10-23 05:13:26,2025-10-23 05:18:07,281,0.08
141,L14,#43,GW252/13600,(1)停机过程,1,2025-10-23 05:12:38,2025-10-23 05:13:26,48,0.01
142,L14,#43,GW252/13600,(5)发电状态,5,2025-10-22 23:58:15,2025-10-23 05:12:38,18863,5.24
143,L14,#43,GW252/13600,(4)启机状态,4,2025-10-22 23:57:38,2025-10-22 23:58:15,37,0.01
144,L14,#43,GW252/13600,(3)待机状态,3,2025-10-22 23:57:09,2025-10-22 23:57:38,29,0.01
145,L14,#43,GW252/13600,(2)停机状态,2,2025-10-22 23:43:14,2025-10-22 23:57:09,835,0.23
146,L14,#43,GW252/13600,(1)停机过程,1,2025-10-22 23:42:30,2025-10-22 23:43:14,44,0.01
147,L14,#43,GW252/13600,(5)发电状态,5,2025-10-22 20:37:36,2025-10-22 23:42:30,11094,3.08
148,L14,#43,GW252/13600,(4)启机状态,4,2025-10-22 20:36:57,2025-10-22 20:37:36,39,0.01
149,L14,#43,GW252/13600,(3)待机状态,3,2025-10-22 20:36:26,2025-10-22 20:36:57,31,0.01
150,L14,#43,GW252/13600,(2)停机状态,2,2025-10-22 19:21:25,2025-10-22 20:36:26,4501,1.25
151,L14,#43,GW252/13600,(1)停机过程,1,2025-10-22 19:20:41,2025-10-22 19:21:25,44,0.01
152,L14,#43,GW252/13600,(5)发电状态,5,2025-10-22 16:07:39,2025-10-22 19:20:41,11582,3.22
153,L14,#43,GW252/13600,(4)启机状态,4,2025-10-22 16:07:06,2025-10-22 16:07:39,33,0.01
154,L14,#43,GW252/13600,(3)待机状态,3,2025-10-22 16:06:34,2025-10-22 16:07:06,32,0.01
155,L14,#43,GW252/13600,(2)停机状态,2,2025-10-22 15:31:26,2025-10-22 16:06:34,2108,0.59
156,L14,#43,GW252/13600,(1)停机过程,1,2025-10-22 15:30:41,2025-10-22 15:31:26,45,0.01
157,L14,#43,GW252/13600,(5)发电状态,5,2025-10-22 13:12:46,2025-10-22 15:30:41,8275,2.3
158,L14,#43,GW252/13600,(4)启机状态,4,2025-10-22 13:12:15,2025-10-22 13:12:46,31,0.01
159,L14,#43,GW252/13600,(3)待机状态,3,2025-10-22 13:11:45,2025-10-22 13:12:15,30,0.01
160,L14,#43,GW252/13600,(2)停机状态,2,2025-10-22 12:57:02,2025-10-22 13:11:45,883,0.25
161,L14,#43,GW252/13600,(1)停机过程,1,2025-10-22 12:56:17,2025-10-22 12:57:02,45,0.01
162,L14,#43,GW252/13600,(5)发电状态,5,2025-10-22 07:27:18,2025-10-22 12:56:17,19739,5.48
163,L14,#43,GW252/13600,(4)启机状态,4,2025-10-22 07:26:44,2025-10-22 07:27:18,34,0.01
164,L14,#43,GW252/13600,(3)待机状态,3,2025-10-22 07:26:13,2025-10-22 07:26:44,31,0.01
165,L14,#43,GW252/13600,(2)停机状态,2,2025-10-22 05:57:06,2025-10-22 07:26:13,5347,1.49
166,L14,#43,GW252/13600,(1)停机过程,1,2025-10-22 05:56:21,2025-10-22 05:57:06,45,0.01
167,L14,#43,GW252/13600,(5)发电状态,5,2025-10-22 04:04:43,2025-10-22 05:56:21,6698,1.86
168,L14,#43,GW252/13600,(4)启机状态,4,2025-10-22 04:04:13,2025-10-22 04:04:43,30,0.01
169,L14,#43,GW252/13600,(3)待机状态,3,2025-10-22 04:03:44,2025-10-22 04:04:13,29,0.01
170,L14,#43,GW252/13600,(2)停机状态,2,2025-10-21 21:12:47,2025-10-22 04:03:44,24657,6.85
171,L14,#43,GW252/13600,(1)停机过程,1,2025-10-21 21:12:04,2025-10-21 21:12:47,43,0.01
172,L14,#43,GW252/13600,(5)发电状态,5,2025-10-21 21:02:20,2025-10-21 21:12:04,584,0.16
173,L14,#43,GW252/13600,(4)启机状态,4,2025-10-21 21:01:49,2025-10-21 21:02:20,31,0.01
174,L14,#43,GW252/13600,(3)待机状态,3,2025-10-21 21:01:19,2025-10-21 21:01:49,30,0.01
175,L14,#43,GW252/13600,(2)停机状态,2,2025-10-21 20:56:52,2025-10-21 21:01:19,267,0.07
176,L14,#43,GW252/13600,(1)停机过程,1,2025-10-21 20:56:08,2025-10-21 20:56:52,44,0.01
177,L14,#43,GW252/13600,(5)发电状态,5,2025-10-21 20:52:30,2025-10-21 20:56:08,218,0.06
178,L14,#43,GW252/13600,(4)启机状态,4,2025-10-21 20:51:57,2025-10-21 20:52:30,33,0.01
179,L14,#43,GW252/13600,(3)待机状态,3,2025-10-21 20:51:28,2025-10-21 20:51:57,29,0.01
180,L14,#43,GW252/13600,(2)停机状态,2,2025-10-21 20:46:44,2025-10-21 20:51:28,284,0.08
181,L14,#43,GW252/13600,(1)停机过程,1,2025-10-21 20:46:01,2025-10-21 20:46:44,43,0.01
182,L14,#43,GW252/13600,(5)发电状态,5,2025-10-21 19:41:29,2025-10-21 20:46:01,3872,1.08
183,L14,#43,GW252/13600,(4)启机状态,4,2025-10-21 19:40:59,2025-10-21 19:41:29,30,0.01
184,L14,#43,GW252/13600,(3)待机状态,3,2025-10-21 19:40:31,2025-10-21 19:40:59,28,0.01
185,L14,#43,GW252/13600,(2)停机状态,2,2025-10-21 19:01:46,2025-10-21 19:40:31,2325,0.65
186,L14,#43,GW252/13600,(1)停机过程,1,2025-10-21 19:01:04,2025-10-21 19:01:46,42,0.01
187,L14,#43,GW252/13600,(5)发电状态,5,2025-10-21 17:17:27,2025-10-21 19:01:04,6217,1.73
188,L14,#43,GW252/13600,(4)启机状态,4,2025-10-21 17:16:55,2025-10-21 17:17:27,32,0.01
189,L14,#43,GW252/13600,(3)待机状态,3,2025-10-21 17:16:23,2025-10-21 17:16:55,32,0.01
190,L14,#43,GW252/13600,(2)停机状态,2,2025-10-21 17:01:25,2025-10-21 17:16:23,898,0.25
191,L14,#43,GW252/13600,(1)停机过程,1,2025-10-21 17:00:41,2025-10-21 17:01:25,44,0.01
192,L14,#43,GW252/13600,(5)发电状态,5,2025-10-21 09:47:23,2025-10-21 17:00:41,25998,7.22
193,L14,#43,GW252/13600,(4)启机状态,4,2025-10-21 09:46:53,2025-10-21 09:47:23,30,0.01
194,L14,#43,GW252/13600,(3)待机状态,3,2025-10-21 09:46:22,2025-10-21 09:46:53,31,0.01
195,L14,#43,GW252/13600,(2)停机状态,2,2025-10-21 09:45:05,2025-10-21 09:46:22,77,0.02
196,L14,#43,GW252/13600,(1)停机过程,1,2025-10-21 09:44:22,2025-10-21 09:45:05,43,0.01
197,L14,#43,GW252/13600,(5)发电状态,5,2025-10-20 21:28:15,2025-10-21 09:44:22,44167,12.27
198,L14,#43,GW252/13600,(4)启机状态,4,2025-10-20 21:27:40,2025-10-20 21:28:15,35,0.01
199,L14,#43,GW252/13600,(3)待机状态,3,2025-10-20 21:27:10,2025-10-20 21:27:40,30,0.01
200,L14,#43,GW252/13600,(2)停机状态,2,2025-10-20 21:17:41,2025-10-20 21:27:10,569,0.16
201,L14,#43,GW252/13600,(1)停机过程,1,2025-10-20 21:16:56,2025-10-20 21:17:41,45,0.01
202,L14,#43,GW252/13600,(5)发电状态,5,2025-10-20 16:25:02,2025-10-20 21:16:56,17514,4.87
203,L14,#43,GW252/13600,(4)启机状态,4,2025-10-20 16:24:30,2025-10-20 16:25:02,32,0.01
204,L14,#43,GW252/13600,(3)待机状态,3,2025-10-20 16:23:57,2025-10-20 16:24:30,33,0.01
205,L14,#43,GW252/13600,(2)停机状态,2,2025-10-20 16:23:54,2025-10-20 16:23:57,3,0
206,L14,#43,GW252/13600,(1)停机过程,1,2025-10-20 16:23:44,2025-10-20 16:23:54,10,0
207,L14,#43,GW252/13600,(9)维护状态,9,2025-10-20 16:23:21,2025-10-20 16:23:44,23,0.01
208,L14,#43,GW252/13600,(2)停机状态,2,2025-10-20 16:22:28,2025-10-20 16:23:21,53,0.01
209,L14,#43,GW252/13600,(0)初始化,0,2025-10-20 16:21:12,2025-10-20 16:22:28,76,0.02
210,L14,#43,GW252/13600,(9)维护状态,9,2025-10-20 16:19:35,2025-10-20 16:21:12,97,0.03
211,L14,#43,GW252/13600,(1)停机过程,1,2025-10-20 16:18:46,2025-10-20 16:19:35,49,0.01
212,L14,#43,GW252/13600,(5)发电状态,5,2025-10-20 14:54:46,2025-10-20 16:18:46,5040,1.4
213,L14,#43,GW252/13600,(4)启机状态,4,2025-10-20 14:54:12,2025-10-20 14:54:46,34,0.01
214,L14,#43,GW252/13600,(3)待机状态,3,2025-10-20 14:53:42,2025-10-20 14:54:12,30,0.01
215,L14,#43,GW252/13600,(2)停机状态,2,2025-10-20 14:44:03,2025-10-20 14:53:42,579,0.16
216,L14,#43,GW252/13600,(1)停机过程,1,2025-10-20 14:43:17,2025-10-20 14:44:03,46,0.01
217,L14,#43,GW252/13600,(5)发电状态,5,2025-10-20 11:47:48,2025-10-20 14:43:17,10529,2.92
218,L14,#43,GW252/13600,(4)启机状态,4,2025-10-20 11:47:13,2025-10-20 11:47:48,35,0.01
219,L14,#43,GW252/13600,(3)待机状态,3,2025-10-20 11:46:41,2025-10-20 11:47:13,32,0.01
220,L14,#43,GW252/13600,(2)停机状态,2,2025-10-20 11:29:30,2025-10-20 11:46:41,1031,0.29
221,L14,#43,GW252/13600,(1)停机过程,1,2025-10-20 11:28:41,2025-10-20 11:29:30,49,0.01
222,L14,#43,GW252/13600,(5)发电状态,5,2025-10-20 08:14:18,2025-10-20 11:28:41,11663,3.24
223,L14,#43,GW252/13600,(4)启机状态,4,2025-10-20 08:13:44,2025-10-20 08:14:18,34,0.01
224,L14,#43,GW252/13600,(3)待机状态,3,2025-10-20 08:13:11,2025-10-20 08:13:44,33,0.01
225,L14,#43,GW252/13600,(2)停机状态,2,2025-10-20 08:07:34,2025-10-20 08:13:11,337,0.09
